Metrik Jarak,K (Neighbors),N (Top-N),Precision@N,Recall@N
Cosine,5,5,0.0902,0.0612
Cosine,5,10,0.0744,0.0941
Cosine,5,15,0.065,0.1217
Cosine,5,20,0.057,0.1388
Cosine,10,5,0.1053,0.0669
Cosine,10,10,0.0846,0.1046
Cosine,10,15,0.0741,0.1359
Cosine,10,20,0.0675,0.1606
Cosine,20,5,0.1187,0.0715
Cosine,20,10,0.0941,0.1081
Cosine,20,15,0.0814,0.141
Cosine,20,20,0.0736,0.1675
Cosine,50,5,0.1354,0.082
Cosine,50,10,0.1096,0.1246
Cosine,50,15,0.0911,0.1537
Cosine,50,20,0.0813,0.1865
Euclidean,5,5,0.0744,0.0465
Euclidean,5,10,0.0671,0.0796
Euclidean,5,15,0.06,0.1068
Euclidean,5,20,0.0544,0.1277
Euclidean,10,5,0.0801,0.0472
Euclidean,10,10,0.0707,0.0836
Euclidean,10,15,0.0698,0.1228
Euclidean,10,20,0.0641,0.1512
Euclidean,20,5,0.0955,0.0514
Euclidean,20,10,0.0894,0.1002
Euclidean,20,15,0.0802,0.138
Euclidean,20,20,0.0735,0.1701
Euclidean,50,5,0.137,0.083
Euclidean,50,10,0.1106,0.129
Euclidean,50,15,0.0935,0.1598
Euclidean,50,20,0.0833,0.1915
