Metrik Jarak,K (Neighbors),N (Top-N),Precision@N,Recall@N
Cosine,5,5,0.0941,0.0594
Cosine,5,10,0.0741,0.0856
Cosine,5,15,0.0641,0.1028
Cosine,5,20,0.0568,0.1191
Cosine,10,5,0.1127,0.0701
Cosine,10,10,0.084,0.0978
Cosine,10,15,0.0711,0.1201
Cosine,10,20,0.0647,0.1439
Cosine,20,5,0.1236,0.0746
Cosine,20,10,0.0935,0.1076
Cosine,20,15,0.0765,0.1311
Cosine,20,20,0.0697,0.1553
Cosine,50,5,0.1382,0.0801
Cosine,50,10,0.1079,0.1184
Cosine,50,15,0.0948,0.1572
Cosine,50,20,0.0819,0.1808
Euclidean,5,5,0.0788,0.0431
Euclidean,5,10,0.0651,0.0676
Euclidean,5,15,0.0571,0.0872
Euclidean,5,20,0.0512,0.1026
Euclidean,10,5,0.0897,0.0489
Euclidean,10,10,0.0731,0.08
Euclidean,10,15,0.0632,0.1015
Euclidean,10,20,0.058,0.1251
Euclidean,20,5,0.0994,0.0521
Euclidean,20,10,0.0806,0.0863
Euclidean,20,15,0.0688,0.1106
Euclidean,20,20,0.0639,0.1379
Euclidean,50,5,0.1289,0.0724
Euclidean,50,10,0.1038,0.1125
Euclidean,50,15,0.0944,0.159
Euclidean,50,20,0.0822,0.1836
